be,[biː],was/were,[wɜː(r)]/[wɒz],been,[biːn],być
beat,[biːt],beat,[biːt],beaten,['biːtən],bić
become,[bɪ'kʌm],became,[bɪ'keɪm],become,[bɪ'kʌm],zostawać
begin,[bɪ'gɪn],began,[bɪ'gæn],begun,[bɪ'gʌn],zaczynać
begin,[bɪ'gɪn],began,[bɪ'gæn],begun,[bɪ'gʌn],zaczynać
bleed,[bliːd],bled,[bled],bled,[bled],krwawić
break,[breɪk],broke,[brəʊk],broken,['brəʊkən],łamać,,psuć,się
bring,[brɪŋ],brought,[brɔːt],brought,[brɔːt],przynosić
build,[bɪld],built,[bɪlt],built,[bɪlt],budować
buy,[baɪ],bought,[bɔːt],bought,[bɔːt],kupować
catch,[kætʃ],caught,[kɔːt],caught,[kɔːt],łapać
choose,[tʃuːz],chose,[tʃəʊz],chosen,[tʃəʊzən],wybierać
come,[kʌm],came,[keɪm],come,[kʌm],przychodzić
cost,[kɒst],cost,[kɒst],cost,[kɒst],kosztować
cut,[kʌt],cut,[kʌt],cut,[kʌt],ciąć
do,[duː],did,[dɪd],done,[dʌn],robić
drink,[drɪŋk],drank,[dræŋk],drunk,[drʌŋk],pić
drink,[drɪŋk],drank,[dræŋk],drunk,[drʌŋk],pić
drink,[drɪŋk],drank,[dræŋk],drunk,[drʌŋk],pić
fall,[fɔːl],fell,[fel],fallen,['fɔːlən],upadać
feed,[fiːd],fed,[fed],fed,[fed],karmić
feel,[fiːl],felt,[felt],felt,[felt],czuć
fight,[faɪt],fought,[fɔːt],fought,[fɔːt],walczyć
find,[faɪnd],found,[faʊnd],found,[faʊnd],znajdywać
fly,[flaɪ],flew,[fluː],flown,[fləʊn],latać
forbid,[fə'bɪd],forbade,[fə'bæd],forbidden,[fə'bɪdən],zakazywać
forget,[fə'get],forgot,[fə'gɒt],forgotten,[fə'gɒtn],zapominać
forgive,[fə'gɪv],forgave,[fə'geɪv],forgiven,[fə'gɪvən],wybaczać
freeze,[friːz],froze,[frəʊz],frozen,['frəʊzən],zamarzać
get,[get],got,[gɒt],got/gotten(USA),['gɒtən]/[gɒt],dostawać
give,[gɪv],gave,[geɪv],given,['gɪvən],dawać
go,[gəʊ],went,[went],gone,[gɒn],iść
